build time	recall	latency	build time	recall	latency	build time	recall	latency	build time	recall	latency
2.5312	0.3054	0.2814	7.5731	0.3554	0.0778	9.6507	0.3977	0.8524	13.4644	0.3977	0.3493
2.5312	0.3054	0.2628	7.5731	0.3858	0.0489	15.8576	0.506	1.6435	42.4312	0.506	1.4623
2.5312	0.3054	0.2473	7.5731	0.4371	0.0575	9.6507	0.557	0.4103	13.4644	0.557	0.2996
2.5312	0.3054	0.2402	12.3848	0.4698	0.0632	22.6043	0.5585	1.6698	23.945	0.5585	1.2655
2.5312	0.3054	0.2422	7.5731	0.475	0.0672	30.4446	0.5952	1.7053	31.153	0.5952	1.1732
2.4779	0.3072	0.2704	7.5731	0.5327	0.0857	36.6318	0.6251	1.7249	38.3098	0.6251	1.2335
2.4779	0.3072	0.2491	12.3848	0.5448	0.0788	43.9829	0.6463	1.7393	44.621	0.6463	1.3754
2.4779	0.3072	0.2399	9.7281	0.5491	0.0649	15.8576	0.654	0.3569	42.4312	0.654	0.5122
2.4779	0.3072	0.2355	16.2124	0.5631	0.0841	50.0796	0.6618	1.7728	52.3572	0.6618	1.5208
2.4779	0.3072	0.2181	7.5731	0.572	0.1033	57.9609	0.6759	1.795	58.5044	0.6759	1.323
2.4437	0.31	0.2728	9.7281	0.5884	0.0687	65.4904	0.6885	1.7685	66.2984	0.6885	1.5702
2.4437	0.31	0.2444	7.5731	0.5887	0.1118	22.6043	0.6974	0.4097	23.945	0.6974	0.5346
2.4437	0.31	0.2354	12.3848	0.5962	0.0976	72.7745	0.6986	1.7692	71.9609	0.6986	1.2453
2.4437	0.31	0.235	7.5731	0.6032	0.1202	9.6507	0.7102	0.7721	13.4644	0.7102	0.7954
2.4437	0.31	0.2198	21.633	0.6203	0.1064	85.3097	0.7157	1.7934	86.7116	0.7157	1.5585
2.4762	0.3209	0.2635	7.5731	0.6286	0.1366	30.4446	0.7298	0.4426	31.153	0.7298	0.5419
2.4762	0.3209	0.2502	12.3848	0.633	0.1149	99.5256	0.7315	1.7963	98.2151	0.7315	1.6483
2.4762	0.3209	0.2424	16.2124	0.637	0.1072	116.8217	0.7413	1.7637	115.7571	0.7413	1.6273
2.4762	0.3209	0.2398	12.4577	0.6404	0.0921	36.6318	0.7511	0.4737	38.3098	0.7511	0.6282
2.4762	0.3209	0.2299	9.7281	0.6462	0.0823	124.5	0.7516	1.8087	124.9989	0.7516	1.6431
2.4447	0.3261	0.2743	7.5731	0.649	0.1527	136.0968	0.7637	1.723	137.9041	0.7637	1.8836
