Threads,Time(s),QPS,Avg Power(W),CPU Energy(J),Mem Energy(J),Power/Query(mJ),Efficiency,Avg Lat(ms),P50 Lat(ms),P99 Lat(ms),Max Lat(ms),Min Lat(ms),Peak Mem(MB)
1,20.0959,497.62,60.00,964.6010,241.1503,2423.0603,8.29,2.0043,1.9221,3.3921,4.5211,1.3666,1369.80
2,11.8393,844.64,70.00,663.0005,165.7501,981.1823,12.07,2.3323,2.3057,3.1672,6.9254,1.5652,1369.80
3,8.6259,1159.30,80.00,552.0593,138.0148,595.2530,14.49,2.4576,2.3710,4.0045,5.1708,1.3211,1369.80
4,6.9367,1441.61,90.00,499.4433,124.8608,433.0618,16.02,2.6990,2.6729,3.6683,4.7484,1.5868,1369.80
5,5.4741,1826.77,100.00,437.9314,109.4829,299.6624,18.27,2.5422,2.5078,3.6518,5.7129,1.4652,1369.80
6,5.0349,1986.13,110.00,443.0722,110.7680,278.8536,18.06,2.8495,2.8284,4.2119,5.0374,1.5595,1369.80
7,5.0482,1980.90,120.00,484.6281,121.1570,305.8130,16.51,3.2782,3.1645,5.7258,7.4757,1.6230,1369.80
8,4.5917,2177.84,130.00,477.5370,119.3843,274.0885,16.75,3.5163,3.4675,5.3047,7.0959,1.7315,1369.80
9,4.2409,2357.97,140.00,474.9854,118.7463,251.7981,16.84,3.5488,3.4368,6.0675,8.2343,1.6829,1369.80
10,4.0541,2466.66,150.00,486.4871,121.6218,246.5310,16.44,3.8992,3.8244,6.0835,7.5755,1.7531,1369.80
11,3.7654,2655.77,160.00,481.9695,120.4924,226.8502,16.60,3.8932,3.7476,6.5988,9.7160,1.7608,1369.80
12,3.7425,2672.00,170.00,508.9817,127.2454,238.1088,15.72,4.1311,3.9915,7.0278,9.6725,1.6389,1369.80
13,3.5796,2793.59,180.00,515.4654,128.8663,230.6463,15.52,4.3829,4.2975,6.7570,9.1449,1.6902,1369.80
14,3.4760,2876.90,190.00,528.3465,132.0866,229.5641,15.14,4.4975,4.3991,7.1256,9.1621,1.7011,1369.80
15,3.3381,2995.69,200.00,534.1000,133.5250,222.8616,14.98,4.5873,4.4401,8.0157,10.8365,1.5763,1369.80
16,3.3867,2952.72,210.00,568.9661,142.2415,240.8649,14.06,5.0863,5.0018,8.0424,11.0235,1.5879,1369.80
17,3.4392,2907.67,220.00,605.2966,151.3241,260.2159,13.22,5.4995,5.3887,8.7781,10.8714,1.9830,1369.80
18,3.2819,3047.00,230.00,603.8734,150.9683,247.7331,13.25,5.5504,5.4378,9.2863,12.7560,2.0353,1369.80
19,3.2750,3053.46,240.00,628.7941,157.1985,257.4102,12.72,5.9168,5.8314,9.1928,12.0515,1.6222,1369.80
20,3.3063,3024.52,250.00,661.2628,165.3157,273.2928,12.10,6.1614,6.1218,9.6584,12.5714,1.6823,1369.80
