Threads,Time(s),QPS,Avg Power(W),CPU Energy(J),Mem Energy(J),Power/Query(mJ),Efficiency,Avg Lat(ms),P50 Lat(ms),P99 Lat(ms),Max Lat(ms),Min Lat(ms),Peak Mem(MB)
1,25.1221,398.06,60.00,1205.8600,301.4650,3786.7145,6.63,2.5062,2.3924,4.5597,25.3250,1.3724,1366.67
2,19.8354,504.15,70.00,1110.7808,277.6952,2754.0938,7.20,3.7916,3.3480,16.7713,47.7674,2.3607,1366.67
3,15.8809,629.69,80.00,1016.3784,254.0946,2017.6270,7.87,4.6239,4.1826,18.0109,48.8676,2.5007,1366.67
4,13.4583,743.04,90.00,968.9976,242.2494,1630.1324,8.26,5.1752,4.2815,20.5773,55.1071,2.5867,1366.67
5,11.2813,886.42,100.00,902.5048,225.6262,1272.6796,8.86,5.1994,4.7499,18.7787,47.7812,2.4487,1366.67
6,10.6834,936.03,110.00,940.1371,235.0343,1255.4797,8.51,5.8481,5.1600,22.2769,34.1272,2.9900,1366.67
7,9.5508,1047.03,120.00,916.8760,229.2190,1094.6115,8.73,6.0967,5.0043,23.0948,41.2485,2.7948,1366.67
8,9.7601,1024.58,130.00,1015.0462,253.7615,1238.3639,7.88,7.1449,5.7599,26.0322,43.5691,2.9016,1366.67
9,8.8253,1133.10,140.00,988.4360,247.1090,1090.4082,8.09,7.4976,5.7230,25.3538,41.3718,2.8776,1366.67
10,7.9286,1261.25,150.00,951.4366,237.8592,942.9496,8.41,7.2385,5.8349,24.7271,40.6831,2.8397,1366.67
11,7.8173,1279.21,160.00,1000.6147,250.1537,977.7635,8.00,7.7363,6.3722,26.7580,50.5491,2.3004,1366.67
12,7.2868,1372.35,170.00,991.0019,247.7505,902.6514,8.07,7.9222,6.3601,26.5204,45.9338,2.9216,1366.67
13,7.1260,1403.32,180.00,1026.1414,256.5354,914.0331,7.80,8.3872,7.2281,26.6930,36.8631,2.7017,1366.67
14,7.2661,1376.26,190.00,1104.4459,276.1115,1003.1255,7.24,9.2099,7.6412,27.2840,43.1582,2.9208,1366.67
15,7.2849,1372.70,200.00,1165.5879,291.3970,1061.4024,6.86,9.9425,8.2498,28.4266,46.1133,2.7892,1366.67
16,6.8946,1450.42,210.00,1158.2873,289.5718,998.2363,6.91,9.9036,7.7601,28.3314,49.0591,3.1974,1366.67
17,6.5901,1517.43,220.00,1159.8595,289.9649,955.4503,6.90,9.6292,7.6531,28.7619,52.3587,2.7752,1366.67
18,6.3418,1576.84,230.00,1166.8934,291.7234,925.0273,6.86,10.0403,7.8506,29.6988,54.5256,2.5739,1366.67
19,6.0430,1654.80,240.00,1160.2584,290.0646,876.4321,6.90,10.2797,8.1316,29.1833,43.9245,2.6965,1366.67
20,5.7416,1741.67,250.00,1148.3238,287.0809,824.1547,6.97,10.0087,7.5985,29.1965,41.5435,2.4584,1366.67
