Threads,Disk_QPS,Memory_QPS,QPS_Improvement_%,Disk_Latency_ms,Memory_Latency_ms,Latency_Improvement_%
1,497.62,398.06,-20.007234435914956,2.0043,2.5062,-25.041161502769043
2,844.64,504.15,-40.31184883500663,2.3323,3.7916,-62.56913776100844
3,1159.3,629.69,-45.68360217372552,2.4576,4.6239,-88.14697265625001
4,1441.61,743.04,-48.45762723621506,2.699,5.1752,-91.74509077436089
5,1826.77,886.42,-51.47610262923084,2.5422,5.1994,-104.52364094091733
6,1986.13,936.03,-52.871664996752486,2.8495,5.8481,-105.23249692928583
7,1980.9,1047.03,-47.1437225503559,3.2782,6.0967,-85.97706058202674
8,2177.84,1024.58,-52.954303346435005,3.5163,7.1449,-103.19369792111024
9,2357.97,1133.1,-51.94595351085892,3.5488,7.4976,-111.27141568981065
10,2466.66,1261.25,-48.86810504893256,3.8992,7.2385,-85.64064423471481
11,2655.77,1279.21,-51.832801786299264,3.8932,7.7363,-98.71314086098837
12,2672.0,1372.35,-48.639595808383234,4.1311,7.9222,-91.7697465566072
13,2793.59,1403.32,-49.76642957627999,4.3829,8.3872,-91.36188368431858
14,2876.9,1376.26,-52.16170183183287,4.4975,9.2099,-104.77821011673151
15,2995.69,1372.7,-54.17750167740988,4.5873,9.9425,-116.73969437359668
16,2952.72,1450.42,-50.878512016039444,5.0863,9.9036,-94.71128325108629
17,2907.67,1517.43,-47.812853590675694,5.4995,9.6292,-75.09228111646514
18,3047.0,1576.84,-48.249425664588124,5.5504,10.0403,-80.89326895358894
19,3053.46,1654.8,-45.805741683205284,5.9168,10.2797,-73.73749323958896
20,3024.52,1741.67,-42.414994776030575,6.1614,10.0087,-62.4419774726523
